Sample,Organism-name,Strain,BioSample,BioProject,Group,SubGroup,Assembly,Size,GC.,Replicons,WGS,Scaffolds,Genes,Proteins,Release.Date,Cas_genes,Level,GenBank.FTP,crispr,spacers,cas,IE,IF,IC,other/FP,type_other,Cas_genes,acrIE,acrIF,Acr_genes_hom,nb_hits_hom,nb_other_hom,gbaLC,gbaMC_IE,gbaMC_IF,gbaMC_IC,gbaHC_IE,gbaHC_IF,gbaHC_IC,phage
GCF_000006765.1_ASM676v1,Pseudomonas aeruginosa PAO1,PAO1,SAMN02603714 ,PRJNA331,Proteobacteria,Gammaproteobacteria,GCA_000006765.1 ,6.2644,66.6,chromosome:NC_002516.2/AE004091.2,-,1,5697,5572,2000/05/16,2019/01/24,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/765/GCA_000006765.1_ASM676v1,0,0,0,0,0,0,0,[],[],0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000014625.1_ASM1462v1,Pseudomonas aeruginosa UCBPP-PA14,UCBPP-PA14,SAMN02603591 ,PRJNA386,Proteobacteria,Gammaproteobacteria,GCA_000014625.1 ,6.53765,66.3,chromosome:NC_008463.1/CP000438.1,-,1,6192,6029,2006/10/06,2019/08/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/625/GCA_000014625.1_ASM1462v1,2,35,1,0,1,0,0,[],"[['cas6_TypeIF (2927517,2928080,-)', 'csy2_TypeIF (2929123,2930106,-)', 'cas3-cas2_TypeIF (2931455,2934685,-)', 'csy3_TypeIF (2928084,2929112,-)', 'cas1_TypeIF (2934682,2935656,-)', 'csy1_TypeIF (2930093,2931397,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000017205.1_ASM1720v1,Pseudomonas aeruginosa PA7,PA7,SAMN02603435 ,PRJNA16720,Proteobacteria,Gammaproteobacteria,GCA_000017205.1 ,6.58834,66.4,chromosome:NC_009656.1/CP000744.1,-,1,6312,6040,2007/07/05,2019/08/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/205/GCA_000017205.1_ASM1720v1,2,9,0,0,0,0,0,[],[],0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000026645.1_ASM2664v1,Pseudomonas aeruginosa LESB58,LESB58,SAMEA1705916 ,PRJEA31101,Proteobacteria,Gammaproteobacteria,GCA_000026645.1 ,6.60176,66.3,chromosome:NC_011770.1/FM209186.1,-,1,6312,6150,2008/12/24,2019/08/26,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/645/GCA_000026645.1_ASM2664v1,1,14,0,0,0,0,0,[],[],1,2,"['AcrIE4', 'AcrIF3', 'AcrIF5']",3,2,0,0,0,0,0,0,0,[]
GCF_000148745.1_ASM14874v1,Pseudomonas aeruginosa 39016,39016,SAMN02471834 ,PRJNA49667,Proteobacteria,Gammaproteobacteria,GCA_000148745.1 ,6.86606,65.7463,chromosome:NZ_CM001020.1/CM001020.1,AEEX01,1,13162,12740,2010/09/29,2019/08/26,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/745/GCA_000148745.1_ASM14874v1,0,0,0,0,0,0,0,[],[],1,1,"['AcrIE3', 'AcrIF4']",2,2,0,0,0,0,0,0,0,[]
GCF_000152525.1_ASM15252v1,Pseudomonas aeruginosa C3719,C3719,SAMN02595210 ,PRJNA16170,Proteobacteria,Gammaproteobacteria,GCA_000152525.1 ,6.2221,66.3,-,AAKV01,1,5908,5372,2006/01/04,2019/04/02,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/525/GCA_000152525.1_ASM15252v1,3,41,1,0,1,0,0,[],"[['csy1_TypeIF (1511301,1512605,+)', 'csy3_TypeIF (1513586,1514614,+)', 'cas3-cas2_TypeIF (1508013,1511243,+)', 'cas6_TypeIF (1514618,1515181,+)', 'csy2_TypeIF (1512592,1513575,+)', 'cas1_TypeIF (1507042,1508016,+)']]",1,1,"['AcrIE1', 'AcrIF12']",2,2,0,0,0,0,0,0,0,[]
GCF_000152545.1_ASM15254v1,Pseudomonas aeruginosa 2192,2192,SAMN02595211 ,PRJNA16171,Proteobacteria,Gammaproteobacteria,GCA_000152545.1 ,6.90512,66,-,AAKW01,1,6432,6018,2006/01/04,2017/05/19,Scaffold,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/152/545/GCA_000152545.1_ASM15254v1,5,51,2,1,1,0,0,[],"[['cas7_TypeIE (245267,246409,+)', 'cas2_TypeIE (247994,248293,+)', 'cas3_TypeI (240488,243160,+)', 'cse2_TypeIE (244728,245270,+)', 'cas5_TypeIE (246411,247073,+)', 'cas6_TypeIE (247048,247659,+)', 'cse1_TypeIE (243163,244731,+)'], ['csy3_TypeIF (1715029,1716057,+)', 'csy2_TypeIF (1714035,1715018,+)', 'cas6_TypeIF (1716061,1716624,+)', 'cas1_TypeIF (1708450,1709424,+)', 'cas3-cas2_TypeIF (1709421,1711586,+)', 'csy1_TypeIF (1712744,1714048,+)']]",0,1,['AcrIF6'],1,1,0,1,1,0,0,0,0,['vB_PaeP_Tr60_Ab31_NC_023575-gi|YP_009007133.1||3.03e-44']
GCF_000168335.1_ASM16833v1,Pseudomonas aeruginosa PACS2,PACS2,SAMN02471994 ,PRJNA16851,Proteobacteria,Gammaproteobacteria,GCA_000168335.1 ,6.49242,66.3,chromosome:NZ_AAQW01000001.1/AAQW01000001.1,AAQW01,1,6027,5922,2006/06/05,2019/12/17,Chromosome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/168/335/GCA_000168335.1_ASM16833v1,2,17,1,0,1,0,0,[],"[['csy1_TypeIF (3286143,3287447,+)', 'cas3-cas2_TypeIF (3282855,3286085,+)', 'cas6_TypeIF (3289460,3290023,+)', 'csy2_TypeIF (3287434,3288417,+)', 'csy3_TypeIF (3288428,3289456,+)', 'cas1_TypeIF (3281884,3282858,+)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000172395.1_ASM17239v1,Pseudomonas aeruginosa PAb1,PAb1,SAMN00000299 ,PRJNA28809,Proteobacteria,Gammaproteobacteria,GCA_000172395.1 ,6.0786,66.8,-,ABKZ01,658,6039,5701,2009/09/15,2019/08/03,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/172/395/GCA_000172395.1_ASM17239v1,0,0,0,0,0,0,7,[],"[['cas3_TypeI (8365,10035,+)'], ['cas3_TypeI (13532,16984,-)'], ['cas3_TypeI (2500,6846,+)'], ['cas3_TypeI (21085,22425,+)'], ['cas3_TypeI (4086,5657,-)'], ['cas3_TypeI (22634,23983,+)'], ['cas3_TypeI (2524,3900,-)']]",0,0,[],0,0,0,0,0,0,0,0,0,[]
GCF_000215775.4_PA13_miseq,Pseudomonas aeruginosa HB13,138244,SAMN02471892 ,PRJNA62723,Proteobacteria,Gammaproteobacteria,GCA_000215775.5 ,6.52931,66.2,-,AEVV03,23,6202,6059,2011/06/03,2019/11/15,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/215/775/GCA_000215775.5_PA13_miseq,1,13,0,0,0,0,0,[],[],0,0,[],0,0,0,0,0,0,0,0,0,[]
